                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.47909,                 0.3226,                0.88984,                 0.9368,                 0.9363,                0.97057,                0.89377,                0.43375,                0.31047,                0.87537,               0.006304,               0.006304,               0.006304
                    115,                0.47717,                0.32149,                0.88478,                0.93982,                0.93455,                0.97045,                0.89426,                0.43259,                 0.3098,                 0.8747,               0.006271,               0.006271,               0.006271
                    116,                0.47736,                0.32026,                 0.8888,                 0.9389,                0.93437,                0.97019,                 0.8942,                0.43166,                0.30964,                0.87436,               0.006238,               0.006238,               0.006238
                    117,                0.47361,                0.32015,                0.88602,                0.93839,                0.93446,                0.96989,                0.89563,                0.43044,                0.30827,                0.87421,               0.006205,               0.006205,               0.006205
                    118,                0.47422,                0.32087,                0.88383,                0.93745,                 0.9379,                0.97008,                0.89524,                0.42966,                0.30814,                 0.8736,               0.006172,               0.006172,               0.006172
                    119,                0.47293,                0.31776,                0.88011,                0.93636,                0.93928,                0.96967,                0.89591,                0.42907,                0.30787,                0.87297,               0.006139,               0.006139,               0.006139
                    120,                0.46682,                0.31807,                0.88132,                0.93761,                0.93676,                0.97006,                0.89747,                0.42818,                0.30662,                0.87252,               0.006106,               0.006106,               0.006106
                    121,                0.47262,                0.31747,                0.88304,                 0.9346,                0.94012,                 0.9692,                0.89683,                0.42745,                0.30714,                0.87221,               0.006073,               0.006073,               0.006073
                    122,                0.46794,                0.31718,                0.87897,                 0.9354,                0.93979,                0.96985,                0.89766,                0.42757,                0.30652,                0.87216,                0.00604,                0.00604,                0.00604
                    123,                0.46477,                0.30977,                0.87703,                0.93701,                0.93824,                0.97079,                0.89814,                0.42709,                0.30763,                0.87213,               0.006007,               0.006007,               0.006007
                    124,                0.46385,                0.31464,                 0.8796,                0.93636,                0.93954,                0.97044,                0.89822,                0.42609,                0.30708,                0.87169,               0.005974,               0.005974,               0.005974
                    125,                 0.4654,                0.30938,                0.87931,                0.93823,                0.93874,                0.97147,                0.89958,                0.42532,                0.30669,                 0.8714,               0.005941,               0.005941,               0.005941
